primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Ann McNeil,Michigan,,https://mcneilgroup.chem.lsa.umich.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Montgomery,Michigan,,http://www.umich.edu/%7Ejmgroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Pavel Nagorny,Michigan,,http://www.umich.edu/~nagornyp/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alison Narayan,Michigan,,https://www.lsi.umich.edu/science/our-labs/alison-narayan-lab,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Melanie Sanford,Michigan,,http://www.umich.edu/%7Emssgroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Corey Stephenson,Michigan,,http://www.umich.edu/~crsgroup/,synthetic organic,True,https://www.thestephensongroup.org/,https://www.organicdivision.org/organicsyntheticfaculty/
Corinna Schindler,Michigan,,https://www.schindlerresearchgroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Wolfe,Michigan,,http://www.umich.edu/%7Ewolfelab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeremy Kodanko,Wayne State,,http://chem.wayne.edu/kodankogroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Hien Nguyen,Wayne State,,https://s.wayne.edu/nguyengroup/hien-nguyen/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jennifer Stockdill,Wayne State,,http://stockdillgroup.info/app/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rob Maleczka,Michigan State,,https://www2.chemistry.msu.edu/Faculty/Maleczka/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
William Wulff,Michigan State,,https://www2.chemistry.msu.edu/faculty/wulff/myweb26/Wulff_data/about_wulff-new.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Babak Borhan,Michigan State,,https://www2.chemistry.msu.edu/faculty/Borhan/group%20page.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jetze Tepe,Michigan State,,https://tepegroup.chemistry.msu.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Xuefei Huang,Michigan State,,https://www2.chemistry.msu.edu/faculty/huang/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Aaron Odom,Michigan State,,https://www.chemistry.msu.edu/faculty-research/faculty-members/aaron-l-odom/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Courtney Aldrich,Minnesota,,https://sites.google.com/umn.edu/aldrich/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christopher Douglas,Minnesota,,http://www1.chem.umn.edu/groups/douglas/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Ferguson,Minnesota,,https://sites.google.com/a/umn.edu/ferguson/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dan Harki,Minnesota,,http://harki.umn.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tom Hoye,Minnesota,,http://www1.chem.umn.edu/groups/hoye/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Kass,Minnesota,,http://kass.chem.umn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jessica Lamb,Minnesota,,https://lamb.chem.umn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Nicholas Race,Minnesota,,https://sites.google.com/umn.edu/raceresearchgroup,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Courtney Roberts,Minnesota,,http://roberts.chem.umn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ian Tonks,Minnesota,,http://tonks.chem.umn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Joseph Topczewski,Minnesota,,http://topczewski.chem.umn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Zhengqiang Wang,Minnesota,,https://drugdesign.umn.edu/research/research-groups/wang-group,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Colby,Mississippi,,http://www.olemiss.edu/~dacolby,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Hoang Le,Mississippi,,http://www.hlelab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthew Donahue,University Southern Mississippi,,http://mattdonahuegroup.org/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Julie Pigza,University Southern Mississippi,,https://www.usm.edu/faculty-directory/profile.php?id=1936961,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Xin Cui,Mississippi State,,http://cui.chemistry.msstate.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Harmata,Missouri – Columbia,,http://faculty.missouri.edu/~harmatam/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christopher Spilling,Missouri – St. Louis,,http://www.umsl.edu/chemistry/Faculty/spilling.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alexei Demchenko,Missouri – St. Louis,,http://www.umsl.edu/~demchenkoa/Glycoworld.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eike Bauer,Missouri – St. Louis,,http://www.eike-bauer.net/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kevin Moeller,Washington University,,https://sites.wustl.edu/moellergroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthew Cook,Montana State,,https://cookresearchgroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tom Livinghouse,Montana State,,http://www.chemistry.montana.edu/directory/1524327/thomas-livinghouse,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sharon Neufeldt,Montana State,,http://neufeldt-chemistry.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Nick Natale,Montana,,http://www.umt.edu/people/Natale,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Berkowitz,Nebraska,,http://chemweb.unl.edu/dbb/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Patrick Dussault,Nebraska,,https://chem.unl.edu/patrick-dussault,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Takacs,Nebraska,,https://chem.unl.edu/takacs-group,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Amar Natarajan,University Nebraska Medical Center,,https://www.unmc.edu/eppley/about/faculty/natarajan.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christopher Jeffrey,"Nevada, Reno",,https://www.unr.edu/chemistry/faculty/christopher-jeffrey,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Laina Geary,"Nevada, Reno",,https://lgeary.wixsite.com/gearylab,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jun Yong Kang,"Nevada, Las Vegas",,http://jkang.faculty.unlv.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Charles Zercher,New Hampshire,,https://ceps.unh.edu/person/charles-zercher,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gordon Gribble,Dartmouth,,https://chemistry.dartmouth.edu/people/gordon-wayne-gribble,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Glueck,Dartmouth,,https://chemistry.dartmouth.edu/people/david-s-glueck,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Peter Jacobi,Dartmouth,,https://chemistry.dartmouth.edu/people/peter-alan-jacobi,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jimmy Wu,Dartmouth,,http://sites.dartmouth.edu/jimmywu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Glenn Micalizio,Dartmouth,,https://chemistry.dartmouth.edu/people/glenn-c-micalizio,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Joel Freundlich,Rutgers,,http://njms.rutgers.edu/departments/labs/freundlich/index.cfm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Spencer Knapp,Rutgers,,https://rutchem.rutgers.edu/research/faculty-research/167-knapp-spencer,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Lawrence Williams,Rutgers,,https://rutchem.rutgers.edu/research/faculty-research/200-williams-lawrence-j,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michal Szostak,Rutgers – Newark,,https://szostakgroup.com/,synthetic organic,True,https://szostakgroup.com/,https://www.organicdivision.org/organicsyntheticfaculty/
Erik Sorensen,Princeton,,http://chemlabs.princeton.edu/sorensen/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David MacMillan,Princeton,,http://chemlabs.princeton.edu/macmillan/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Abigail Doyle,Princeton,,http://chemlabs.princeton.edu/doyle/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Robert Knowles,Princeton,,https://knowleslab.princeton.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Herndon,New Mexico State,,http://chemistry.nmsu.edu/people/faculty/james-w-herndon/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
William Maio,New Mexico State,,https://wordpress.nmsu.edu/wmaio/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Samuel Danishefsky,Columbia,,https://www.mskcc.org/research/ski/labs/samuel-danishefsky,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Leighton,Columbia,,http://www.columbia.edu/cu/chemistry/groups/leighton/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dalibor Sames,Columbia,,http://www.columbia.edu/cu/chemistry/groups/sames/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tristan Lambert,Columbia,,http://www.columbia.edu/cu/chemistry/groups/lambert/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tom Rovis,Columbia,,https://rovisresearch.wordpress.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Derek Tan,Sloan-Kettering,,https://www.mskcc.org/research/ski/labs/derek-tan,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Geoffrey Coates,Cornell,,http://coates.chem.cornell.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Song Lin,Cornell,,http://songlin.chem.cornell.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alison Frontier,Rochester,,http://www.sas.rochester.edu/chm/groups/frontier/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
